"cty","Name","Individual_Income_for_Immigrants_rP_gP_pall"
"cty29019","Boone County, MO",34777
"cty45029","Colleton County, SC",34776
"cty40027","Cleveland County, OK",34772
"cty49027","Millard County, UT",34761
"cty26099","Macomb County, MI",34750
"cty42095","Northampton County, PA",34730
"cty42039","Crawford County, PA",34728
"cty34031","Passaic County, NJ",34719
"cty51570","Colonial Heights city, VA",34708
"cty26073","Isabella County, MI",34703
"cty48497","Wise County, TX",34700
"cty13219","Oconee County, GA",34676
"cty45071","Newberry County, SC",34674
"cty45035","Dorchester County, SC",34672
"cty32510","Carson City, NV",34668
"cty27053","Hennepin County, MN",34657
"cty23007","Franklin County, ME",34650
"cty21117","Kenton County, KY",34630
"cty55001","Adams County, WI",34621
"cty27071","Koochiching County, MN",34611
"cty29145","Newton County, MO",34606
"cty33015","Rockingham County, NH",34600
"cty54061","Monongalia County, WV",34589
"cty22089","St. Charles Parish, LA",34588
"cty42079","Luzerne County, PA",34580
"cty39011","Auglaize County, OH",34579
"cty45007","Anderson County, SC",34560
"cty51121","Montgomery County, VA",34554
"cty22017","Caddo Parish, LA",34544
"cty16017","Bonner County, ID",34542
"cty26115","Monroe County, MI",34532
"cty33005","Cheshire County, NH",34529
"cty01101","Montgomery County, AL",34523
"cty42019","Butler County, PA",34519
"cty22057","Lafourche Parish, LA",34514
"cty15003","Honolulu County, HI",34514
"cty36015","Chemung County, NY",34507
"cty18035","Delaware County, IN",34492
"cty39101","Marion County, OH",34487
"cty37147","Pitt County, NC",34457
"cty06059","Orange County, CA",34439
"cty50013","Grand Isle County, VT",34425
"cty18089","Lake County, IN",34423
"cty36113","Warren County, NY",34420
"cty23005","Cumberland County, ME",34409
"cty47031","Coffee County, TN",34391
"cty13097","Douglas County, GA",34387
"cty36045","Jefferson County, NY",34310
"cty40037","Creek County, OK",34305
"cty18141","St. Joseph County, IN",34305
"cty17063","Grundy County, IL",34301
"cty48103","Crane County, TX",34290
"cty51031","Campbell County, VA",34284
"cty36043","Herkimer County, NY",34283
"cty48477","Washington County, TX",34270
"cty47065","Hamilton County, TN",34264
"cty36055","Monroe County, NY",34263
"cty05093","Mississippi County, AR",34243
"cty55131","Washington County, WI",34195
"cty48331","Milam County, TX",34187
"cty42025","Carbon County, PA",34176
"cty29051","Cole County, MO",34175
"cty53047","Okanogan County, WA",34173
"cty27009","Benton County, MN",34160
"cty01089","Madison County, AL",34148
"cty50001","Addison County, VT",34147
"cty47147","Robertson County, TN",34142
"cty12001","Alachua County, FL",34130
"cty22051","Jefferson Parish, LA",34116
"cty51735","Poquoson city, VA",34116
"cty51810","Virginia Beach city, VA",34086
"cty29043","Christian County, MO",34071
"cty19163","Scott County, IA",34063
"cty18127","Porter County, IN",34040
"cty01121","Talladega County, AL",34001
"cty48093","Comanche County, TX",34001
"cty39135","Preble County, OH",33991
"cty24045","Wicomico County, MD",33982
"cty42001","Adams County, PA",33980
"cty27047","Freeborn County, MN",33969
"cty20103","Leavenworth County, KS",33962
"cty25009","Essex County, MA",33961
"cty13057","Cherokee County, GA",33951
"cty18145","Shelby County, IN",33950
"cty37167","Stanly County, NC",33934
"cty48369","Parmer County, TX",33932
"cty18099","Marshall County, IN",33900
"cty45083","Spartanburg County, SC",33879
"cty22071","Orleans Parish, LA",33873
"cty13129","Gordon County, GA",33866
"cty36065","Oneida County, NY",33853
"cty41005","Clackamas County, OR",33848
"cty55075","Marinette County, WI",33834
"cty16075","Payette County, ID",33829
"cty39043","Erie County, OH",33828
"cty50021","Rutland County, VT",33826
"cty55055","Jefferson County, WI",33824
"cty41057","Tillamook County, OR",33816
"cty31109","Lancaster County, NE",33807
"cty20015","Butler County, KS",33800
"cty55111","Sauk County, WI",33795
"cty55093","Pierce County, WI",33786
"cty39147","Seneca County, OH",33781
"cty33007","Coos County, NH",33778
"cty40137","Stephens County, OK",33775
"cty48291","Liberty County, TX",33773
"cty10001","Kent County, DE",33765
"cty36077","Otsego County, NY",33760
"cty31043","Dakota County, NE",33755
"cty42117","Tioga County, PA",33747
"cty35017","Grant County, NM",33735
"cty53005","Benton County, WA",33734
"cty25015","Hampshire County, MA",33720
"cty18039","Elkhart County, IN",33717
"cty06097","Sonoma County, CA",33717
"cty29091","Howell County, MO",33716
"cty22079","Rapides Parish, LA",33692
"cty42087","Mifflin County, PA",33692
"cty48201","Harris County, TX",33632
"cty29047","Clay County, MO",33615
"cty36067","Onondaga County, NY",33608
"cty34041","Warren County, NJ",33602
"cty20009","Barton County, KS",33577
"cty13175","Laurens County, GA",33577
"cty08067","La Plata County, CO",33550
"cty48435","Sutton County, TX",33547
"cty25011","Franklin County, MA",33546
"cty01009","Blount County, AL",33534
"cty06055","Napa County, CA",33506
"cty01081","Lee County, AL",33492
"cty51685","Manassas Park city, VA",33491
"cty13031","Bulloch County, GA",33457
"cty25003","Berkshire County, MA",33457
"cty13051","Chatham County, GA",33456
"cty26025","Calhoun County, MI",33451
"cty53029","Island County, WA",33432
"cty26133","Osceola County, MI",33430
"cty36035","Fulton County, NY",33428
"cty48453","Travis County, TX",33417
"cty48481","Wharton County, TX",33412
"cty50007","Chittenden County, VT",33409
"cty42111","Somerset County, PA",33404
"cty06067","Sacramento County, CA",33398
"cty15009","Maui County, HI",33379
"cty42125","Washington County, PA",33377
"cty36039","Greene County, NY",33373
"cty13135","Gwinnett County, GA",33361
"cty40125","Pottawatomie County, OK",33359
"cty01073","Jefferson County, AL",33356
"cty50003","Bennington County, VT",33347
"cty28151","Washington County, MS",33339
"cty08101","Pueblo County, CO",33318
"cty45013","Beaufort County, SC",33315
"cty48329","Midland County, TX",33307
"cty55087","Outagamie County, WI",33290
"cty37119","Mecklenburg County, NC",33268
"cty42081","Lycoming County, PA",33247
"cty48493","Wilson County, TX",33245
