"cty","Name","Individual_Income_for_U.S._Natives_rP_gP_pall"
"cty21175","Morgan County, KY",21979
"cty28021","Claiborne County, MS",21970
"cty35029","Luna County, NM",21966
"cty18143","Scott County, IN",21966
"cty48385","Real County, TX",21946
"cty28157","Wilkinson County, MS",21936
"cty21045","Casey County, KY",21914
"cty17003","Alexander County, IL",21856
"cty13049","Charlton County, GA",21827
"cty21061","Edmonson County, KY",21800
"cty37093","Hoke County, NC",21792
"cty13025","Brantley County, GA",21716
"cty13309","Wheeler County, GA",21656
"cty21051","Clay County, KY",21654
"cty22035","East Carroll Parish, LA",21653
"cty13259","Stewart County, GA",21636
"cty01105","Perry County, AL",21568
"cty13253","Seminole County, GA",21554
"cty21057","Cumberland County, KY",21538
"cty47029","Cocke County, TN",21493
"cty12037","Franklin County, FL",21476
"cty37009","Ashe County, NC",21458
"cty37075","Graham County, NC",21445
"cty28083","Leflore County, MS",21444
"cty45005","Allendale County, SC",21418
"cty47041","DeKalb County, TN",21388
"cty47061","Grundy County, TN",21381
"cty21207","Russell County, KY",21374
"cty02180","Nome Census Area, AK",21145
"cty21109","Jackson County, KY",21142
"cty21013","Bell County, KY",20842
"cty21159","Martin County, KY",20829
"cty21237","Wolfe County, KY",20816
"cty21063","Elliott County, KY",20798
"cty47095","Lake County, TN",20754
"cty47151","Scott County, TN",20728
"cty21025","Breathitt County, KY",20665
"cty21079","Garrard County, KY",20589
"cty13079","Crawford County, GA",20547
"cty13027","Brooks County, GA",20278
"cty21131","Leslie County, KY",20115
"cty21053","Clinton County, KY",20106
"cty47067","Hancock County, TN",20021
"cty47173","Union County, TN",19787
"cty47049","Fentress County, TN",19658
"cty02188","Northwest Arctic Borough, AK",19640
"cty48345","Motley County, TX",19416
"cty28143","Tunica County, MS",18992
"cty47091","Johnson County, TN",18400
"cty46121","Todd County, SD",18355
"cty16033","Clark County, ID",18130
"cty55078","Menominee County, WI",17967
"cty02060","Bristol Bay Borough, AK",17548
"cty21189","Owsley County, KY",16636
"cty46041","Dewey County, SD",16388
"cty21147","McCreary County, KY",16024
"cty02050","Bethel Census Area, AK",15576
"cty13007","Baker County, GA",15227
"cty46102","Oglala Lakota County, SD",15121
"cty02158","Kusilvak Census Area, AK",14568
"cty38085","Sioux County, ND",13752
"cty48269","King County, TX",
"cty30079","Prairie County, MT",
"cty72025","Caguas Municipio, PR",
"cty49009","Daggett County, UT",
"cty72003","Aguada Municipio, PR",
"cty72133","Santa Isabel Municipio, PR",
"cty72035","Cayey Municipio, PR",
"cty72054","Florida Municipio, PR",
"cty72087","Loiza Municipio, PR",
"cty72011","Anasco Municipio, PR",
"cty72099","Moca Municipio, PR",
"cty72135","Toa Alta Municipio, PR",
"cty72063","Gurabo Municipio, PR",
"cty72081","Lares Municipio, PR",
"cty72001","Adjuntas Municipio, PR",
"cty72075","Juana Diaz Municipio, PR",
"cty72015","Arroyo Municipio, PR",
"cty72095","Maunabo Municipio, PR",
"cty72089","Luquillo Municipio, PR",
"cty72147","Vieques Municipio, PR",
"cty02282","Yakutat City and Borough, AK",
"cty48431","Sterling County, TX",
"cty72079","Lajas Municipio, PR",
"cty72103","Naguabo Municipio, PR",
"cty16025","Camas County, ID",
"cty72131","San Sebastian Municipio, PR",
"cty72077","Juncos Municipio, PR",
"cty72137","Toa Baja Municipio, PR",
"cty72007","Aguas Buenas Municipio, PR",
"cty72055","Guanica Municipio, PR",
"cty72113","Ponce Municipio, PR",
"cty72139","Trujillo Alto Municipio, PR",
"cty72125","San German Municipio, PR",
"cty72083","Las Marias Municipio, PR",
"cty72029","Canovanas Municipio, PR",
"cty72117","Rincon Municipio, PR",
"cty72141","Utuado Municipio, PR",
"cty72109","Patillas Municipio, PR",
"cty72005","Aguadilla Municipio, PR",
"cty02230","Skagway Municipality, AK",
"cty72115","Quebradillas Municipio, PR",
"cty72041","Cidra Municipio, PR",
"cty72059","Guayanilla Municipio, PR",
"cty72071","Isabela Municipio, PR",
"cty72149","Villalba Municipio, PR",
"cty72039","Ciales Municipio, PR",
"cty72065","Hatillo Municipio, PR",
"cty72037","Ceiba Municipio, PR",
"cty72017","Barceloneta Municipio, PR",
"cty15005","Kalawao County, HI",
"cty30069","Petroleum County, MT",
"cty72091","Manati Municipio, PR",
"cty72021","Bayamon Municipio, PR",
"cty72129","San Lorenzo Municipio, PR",
"cty72151","Yabucoa Municipio, PR",
"cty72119","Rio Grande Municipio, PR",
"cty48301","Loving County, TX",
"cty30107","Wheatland County, MT",
"cty72009","Aibonito Municipio, PR",
"cty08079","Mineral County, CO",
"cty72023","Cabo Rojo Municipio, PR",
"cty72013","Arecibo Municipio, PR",
"cty72105","Naranjito Municipio, PR",
"cty72057","Guayama Municipio, PR",
"cty72153","Yauco Municipio, PR",
"cty72061","Guaynabo Municipio, PR",
"cty31005","Arthur County, NE",
"cty72073","Jayuya Municipio, PR",
"cty32009","Esmeralda County, NV",
"cty72145","Vega Baja Municipio, PR",
"cty72111","Penuelas Municipio, PR",
"cty72043","Coamo Municipio, PR",
"cty08111","San Juan County, CO",
"cty72085","Las Piedras Municipio, PR",
"cty72097","Mayaguez Municipio, PR",
"cty72123","Salinas Municipio, PR",
"cty72051","Dorado Municipio, PR",
"cty72107","Orocovis Municipio, PR",
"cty48443","Terrell County, TX",
"cty72067","Hormigueros Municipio, PR",
"cty72143","Vega Alta Municipio, PR",
"cty72069","Humacao Municipio, PR",
"cty72027","Camuy Municipio, PR",
"cty72049","Culebra Municipio, PR",
"cty72053","Fajardo Municipio, PR",
"cty08053","Hinsdale County, CO",
"cty72019","Barranquitas Municipio, PR",
"cty72033","Catano Municipio, PR",
"cty72121","Sabana Grande Municipio, PR",
"cty48311","McMullen County, TX",
"cty48261","Kenedy County, TX",
"cty72031","Carolina Municipio, PR",
"cty72093","Maricao Municipio, PR",
"cty72045","Comerio Municipio, PR",
"cty72047","Corozal Municipio, PR",
"cty72101","Morovis Municipio, PR",
