"cty","Name","Individual_Income_for_U.S._Natives_rP_gP_pall"
"cty17131","Mercer County, IL",33703
"cty48317","Martin County, TX",33702
"cty53037","Kittitas County, WA",33702
"cty13135","Gwinnett County, GA",33699
"cty51127","New Kent County, VA",33688
"cty17067","Hancock County, IL",33673
"cty48335","Mitchell County, TX",33664
"cty31043","Dakota County, NE",33658
"cty17037","DeKalb County, IL",33655
"cty19029","Cass County, IA",33653
"cty02020","Anchorage Municipality, AK",33635
"cty36113","Warren County, NY",33628
"cty42133","York County, PA",33607
"cty46033","Custer County, SD",33606
"cty31097","Johnson County, NE",33596
"cty48491","Williamson County, TX",33594
"cty51161","Roanoke County, VA",33587
"cty48143","Erath County, TX",33557
"cty17073","Henry County, IL",33555
"cty36065","Oneida County, NY",33554
"cty20149","Pottawatomie County, KS",33553
"cty48065","Carson County, TX",33541
"cty42107","Schuylkill County, PA",33531
"cty18007","Benton County, IN",33523
"cty27059","Isanti County, MN",33514
"cty22125","West Feliciana Parish, LA",33508
"cty55019","Clark County, WI",33503
"cty23005","Cumberland County, ME",33486
"cty31123","Morrill County, NE",33483
"cty19195","Worth County, IA",33482
"cty51149","Prince George County, VA",33468
"cty42075","Lebanon County, PA",33467
"cty06087","Santa Cruz County, CA",33464
"cty42021","Cambria County, PA",33458
"cty26161","Washtenaw County, MI",33457
"cty46027","Clay County, SD",33456
"cty49043","Summit County, UT",33455
"cty33017","Strafford County, NH",33443
"cty20089","Jewell County, KS",33442
"cty06113","Yolo County, CA",33437
"cty08047","Gilpin County, CO",33435
"cty29005","Atchison County, MO",33425
"cty46111","Sanborn County, SD",33423
"cty53043","Lincoln County, WA",33422
"cty19105","Jones County, IA",33418
"cty36021","Columbia County, NY",33413
"cty17135","Montgomery County, IL",33412
"cty55101","Racine County, WI",33406
"cty48493","Wilson County, TX",33402
"cty08051","Gunnison County, CO",33402
"cty27061","Itasca County, MN",33385
"cty30011","Carter County, MT",33381
"cty02122","Kenai Peninsula Borough, AK",33375
"cty48101","Cottle County, TX",33373
"cty20095","Kingman County, KS",33370
"cty51119","Middlesex County, VA",33361
"cty06017","El Dorado County, CA",33358
"cty46005","Beadle County, SD",33356
"cty49029","Morgan County, UT",33354
"cty06061","Placer County, CA",33351
"cty08061","Kiowa County, CO",33348
"cty48039","Brazoria County, TX",33347
"cty26139","Ottawa County, MI",33338
"cty42001","Adams County, PA",33338
"cty51678","Lexington city, VA",33332
"cty16007","Bear Lake County, ID",33324
"cty20141","Osborne County, KS",33323
"cty53017","Douglas County, WA",33316
"cty31071","Garfield County, NE",33316
"cty17107","Logan County, IL",33314
"cty20183","Smith County, KS",33306
"cty56033","Sheridan County, WY",33305
"cty56015","Goshen County, WY",33303
"cty48205","Hartley County, TX",33295
"cty22047","Iberville Parish, LA",33291
"cty27159","Wadena County, MN",33281
"cty19193","Woodbury County, IA",33277
"cty20145","Pawnee County, KS",33275
"cty50021","Rutland County, VT",33270
"cty06027","Inyo County, CA",33243
"cty35059","Union County, NM",33234
"cty42005","Armstrong County, PA",33233
"cty09015","Windham County, CT",33231
"cty08069","Larimer County, CO",33226
"cty55035","Eau Claire County, WI",33226
"cty17123","Marshall County, IL",33225
"cty26093","Livingston County, MI",33217
"cty19175","Union County, IA",33216
"cty46107","Potter County, SD",33214
"cty31125","Nance County, NE",33213
"cty41067","Washington County, OR",33199
"cty17141","Ogle County, IL",33186
"cty42063","Indiana County, PA",33177
"cty36121","Wyoming County, NY",33169
"cty51003","Albemarle County, VA",33167
"cty06111","Ventura County, CA",33166
"cty20075","Hamilton County, KS",33136
"cty20143","Ottawa County, KS",33134
"cty06069","San Benito County, CA",33133
"cty38047","Logan County, ND",33133
"cty30101","Toole County, MT",33131
"cty29051","Cole County, MO",33121
"cty30105","Valley County, MT",33118
"cty08087","Morgan County, CO",33116
"cty48477","Washington County, TX",33116
"cty31067","Gage County, NE",33113
"cty17031","Cook County, IL",33102
"cty17155","Putnam County, IL",33098
"cty55069","Lincoln County, WI",33085
"cty20079","Harvey County, KS",33083
